epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.6965,0.76812,2.4578,1.24716,0.29945,0.86102,0.39855,0.30185,0.91263,1.50371,1.15487,0.000255012,0.000255012,0.000255012
2,144.625,0.58032,1.38546,1.10936,0.40213,0.79472,0.51741,0.40192,0.80213,1.17182,1.02461,0.000501221,0.000501221,0.000501221
3,204.643,0.57091,1.19988,1.09581,0.39981,0.79325,0.5186,0.39516,0.83627,1.27012,1.05945,0.000737279,0.000737279,0.000737279
4,256.97,0.57349,1.10642,1.09387,0.42217,0.7282,0.56297,0.45764,0.75979,1.07886,1.01952,0.000723321,0.000723321,0.000723321
